,val_loss,loss
0,21.186988755327757,
1,4.453433941133687,9.498683455704665
2,-8.475045187062905,-2.4851700973209048
3,-11.870250845053157,-8.642859823726596
4,-13.728595967175531,-10.85608899609661
5,-14.677274142376712,-12.409639322643567
6,-15.451267718780237,-13.48213507604012
7,-16.209402267561583,-14.58311124865562
8,-16.89915942571691,-15.583994291386428
9,-17.405234458993693,-16.473852694442268
10,-17.92380490923514,-17.259044138416545
11,-18.431301861512857,-17.974155654333195
12,-18.903365371168636,-18.627144028811056
13,-19.33333767584113,-19.133518261394162
14,-19.744177483144355,-19.5949693110997
15,-20.12462378525343,-20.058686399916454
16,-20.494617708393786,-20.297205658846124
17,-20.83648386157927,-20.619134405243088
18,-21.15365020955195,-20.843823631223998
19,-21.450904001955127,-21.134513515127992
20,-21.724885615169025,-21.266266700181035
21,-21.988849385839995,-21.488645096973258
22,-22.223618904098135,-21.60429752704709
23,-22.453847498190207,-21.766160412460934
24,-22.65253836795932,-21.83386841355205
25,-22.875175227884387,-21.957078567771024
26,-23.054218077268757,-22.0441387348723
27,-23.213620295290088,-22.134954116576022
28,-23.3702085096328,-22.15839968301692
29,-23.527412754590394,-22.229838797233988
30,-23.669215475926634,-22.33292003858595
31,-23.797578012356993,-22.40560832395436
32,-23.91289629701708,-22.398040321391846
33,-24.016590362689534,-22.420551175457998
34,-24.130842685699463,-22.464496988278245
35,-24.212168294875347,-22.489390932257947
36,-24.29545148669696,-22.535996577318976
37,-24.379021730579314,-22.56148543990588
38,-24.451869917697593,-22.61569781636083
39,-24.514872916409228,-22.57893909344758
40,-24.577341251685972,-22.646867971902996
41,-24.62510387428471,-22.630068911410227
42,-24.683612479538215,-22.63974165361981
43,-24.717868330048734,-22.667154586103155
44,-24.77695266536025,-22.68529914015784
45,-24.816811928983594,-22.679901857545698
46,-24.84970193808196,-22.66601192315202
47,-24.889148501099132,-22.703082033775736
48,-24.920150469561094,-22.794285739006323
49,-24.95445701137918,-22.724348751856102
50,-24.97678349643457,-22.734493298667562
51,-24.994167884842295,-22.738706231932632
52,-25.01127910809439,-22.715655270744772
53,-25.031970925018435,-22.721890731320986
54,-25.052068278437755,-22.713496369311
55,-25.07837935549314,-22.903711238409688
56,-25.084104922951244,-22.71345050749146
57,-25.110228898095304,-22.77008713253872
58,-25.112354958643678,-22.71858553358044
59,-25.12635401428723,-22.744755928884942
60,-25.135053214479665,-22.760289791670772
61,-25.161105040644035,-22.752765308489714
62,-25.16965376744505,-22.74531726667558
63,-25.1635487529098,-22.907158205838602
64,-25.182485429967038,-22.877528621136083
65,-25.185510086231545,-22.84172507773998
66,-25.203198894125517,-22.767135289397025
67,-25.190808366556638,-22.77283062654383
68,-25.211010880157595,-22.756586179198383
69,-25.220073385316816,-22.86534382152166
70,-25.213312666924274,-22.757379746469688
71,-25.226147423025036,-22.740475939008345
72,-25.237837468991515,-22.804593510242885
73,-25.236040904873708,-22.857506067090746
74,-25.24555471099791,-22.7744293323783
75,-25.256097596199787,-22.79406818384674
76,-25.25994345203775,-22.762528002669807
77,-25.25981613260801,-22.774836334092836
78,-25.273547688468557,-22.806854168465296
79,-25.276774955577537,-22.79825004572418
80,-25.274939066073934,-22.84255857441559
81,-25.279225058242922,-22.739679997988176
82,-25.29032108431957,-22.778183401527876
83,-25.293330841377134,-22.755358322863703
84,-25.299401820683087,-22.761997772796047
85,-25.294972771503886,-22.749936665458
86,-25.295667140210263,-22.751509573815135
87,-25.301132989711448,-22.78815946044087
88,-25.318703719826996,-22.83941753520522
89,-25.311831093225322,-22.882072603979775
90,-25.309854435139016,-22.7948045339206
91,-25.30722700963255,-22.817622748347542
92,-25.31627314012559,-22.83238460525116
93,-25.316713557868706,-22.796863144954155
94,-25.328109100216725,-22.844014657016654
95,-25.319179847592213,-22.757357279024763
96,-25.321103705734505,-22.854644091771828
97,-25.326888461581998,-22.833325361259657
98,-25.32511685129072,-22.79163085974029
99,-25.32153069582142,-22.788481167664116
100,-25.336090838322875,-22.800040769511796
101,-25.32776107749001,-22.743924387502606
102,-25.341778045795003,-22.752641171013117
103,-25.33579849219713,-22.769356780437047
104,-25.333914340519513,-22.80911598910059
105,-25.346138170508087,-22.80994051686716
106,-25.3306346701794,-22.783516067160463
107,-25.336907537257083,-22.751944701094306
108,-25.33706048082133,-22.836574319612474
109,-25.33416820549574,-22.80591476273439
110,-25.33056064707334,-22.801662834496245
111,-25.33693755063854,-22.792252801511584
112,-25.332637247492055,-22.759245136041812
113,-25.336925530042805,-22.812451726597736
114,-25.343415113746143,-22.761560122389472
115,-25.33517635259472,-22.795638109199327
