,val_loss,loss
0,11.43048323222569,
1,-4.648123571872711,-0.31564003196145807
2,-12.149203068528857,-5.748384041275297
3,-18.207855370385307,-8.914059542247227
4,-20.136687464032853,-11.015246488707406
5,-21.43579226289477,-12.365008605548313
6,-22.314692594664436,-13.358260717391968
7,-23.189184881619045,-14.416459871700832
8,-23.69745913846152,-15.31980419431414
9,-24.01410218647548,-16.002582323891776
10,-24.306014082091195,-16.643585638318743
11,-24.471104570116317,-17.22476794379098
12,-24.552901223727634,-17.70968645504543
13,-24.580610532079426,-18.00036471639361
14,-24.60588896547045,-18.36566919871739
15,-24.61823147092547,-18.619871673583983
16,-24.64748545033591,-18.847463489259994
17,-24.6656184060233,-19.008996874945506
18,-24.706589912005832,-19.24710444722857
19,-24.73616654600416,-19.428397636413575
20,-24.74587473801204,-19.571850466047014
21,-24.75190359388079,-19.719304504394533
22,-24.75600776399885,-19.83514639173235
23,-24.75802789892469,-19.95098841258458
24,-24.758428496633258,-20.094636328560966
25,-24.762372758729118,-20.147910355159215
26,-24.766217171805245,-20.271627277646747
27,-24.76739552974701,-20.296474484034945
28,-24.76751912048885,-20.379087314605712
29,-24.76758603777204,-20.403535485948836
30,-24.767374546187266,-20.519502348218644
31,-24.7674204989842,-20.560130759647915
32,-24.76642735140664,-20.65396746499198
33,-24.76486704485757,-20.700196470533097
34,-24.762418424742563,-20.704861046927316
35,-24.762351452963692,-20.746794011252266
36,-24.756360438210624,-20.770480785369873
37,-24.754497278077263,-20.784079099382673
38,-24.752908570425852,-20.82257764543806
39,-24.75134037562779,-20.860597111838203
