,val_loss,loss
0,17.260858405808932,
1,2.5290337651968002,8.230989151385838
2,-3.362719285683554,2.2923669814655785
3,-7.133429236587931,-1.2766650511734137
4,-9.857661432418666,-4.085950709237283
5,-11.963118662599657,-6.502659895188505
6,-13.58694713037522,-8.525568354961484
7,-14.888819573355503,-10.493131212268418
8,-16.847311266133044,-12.124839376653105
9,-18.018027122880593,-13.47066185608119
10,-18.801128858425578,-14.380439072725059
11,-19.352119035408144,-15.174170824147446
12,-19.853810304501017,-15.886633097391611
13,-20.31550669670105,-16.412050393961685
14,-20.745995994474068,-16.955081930564955
15,-21.13029987303937,-17.433528433093947
16,-21.479282480771424,-17.83453005544138
17,-21.762712113192823,-18.269607164302048
18,-22.03271104468674,-18.459334181695564
19,-22.28396981661437,-18.7903925429943
20,-22.48189612881082,-19.011023481632552
21,-22.647429575685596,-19.240298105492965
22,-22.790362379590018,-19.374047271530213
23,-22.924262431801342,-19.481569376265792
24,-23.027118682861328,-19.51796762007206
25,-23.114319637173512,-19.703400314424986
26,-23.1893176504823,-19.77240709534422
27,-23.258345457374073,-19.87795743211676
28,-23.315487244090097,-19.87646043936629
29,-23.3578991518646,-19.93096327683831
30,-23.392337683771476,-20.0429599184018
31,-23.41946503959718,-20.118235465765977
32,-23.43562683316528,-20.06820076500179
33,-23.44898883045697,-20.064309847501658
34,-23.46072458243761,-20.139012346515578
35,-23.46635338322061,-20.14309503604873
36,-23.47251537784201,-20.198477064046585
37,-23.47622760397489,-20.167155616749817
38,-23.477817361472084,-20.200847904267945
39,-23.480771453654178,-20.15019661750741
40,-23.48096419748713,-20.221083497544484
41,-23.481869470877726,-20.212956119986142
42,-23.47763351729659,-20.197956158263576
43,-23.476814185986754,-20.213762008703522
44,-23.478661374967608,-20.256865564677685
45,-23.47837474697926,-20.212066603424446
46,-23.474950092737792,-20.208486842717747
47,-23.474684652734975,-20.255173538354125
48,-23.47384874937964,-20.24576153344234
49,-23.4728334848998,-20.274916776717117
50,-23.47153629826718,-20.25974886198866
51,-23.468162636287875,-20.33526722611872
